DesignName,ParticipantID,TrialID,Block1,First,Size,NbOfActions
gesture,1,1,1,S,2,1
gesture,1,2,2,NE,1,1
gesture,1,3,3,W,1,1
gesture,1,4,4,NW,1,1
gesture,1,5,5,NW,1,2
gesture,1,6,6,SE,1,1
gesture,1,7,7,SW,1,2
gesture,1,8,8,SE,2,2
gesture,1,9,9,SW,2,2
gesture,1,10,10,E,2,1
gesture,1,11,11,NE,2,1
gesture,1,12,12,S,1,1
gesture,1,13,13,E,1,2
gesture,1,14,14,NW,2,2
gesture,1,15,15,N,1,2
gesture,1,16,16,N,2,1
gesture,1,17,17,E,1,1
gesture,1,18,18,W,2,1
gesture,1,19,19,W,2,2
gesture,1,20,20,N,2,2
gesture,1,21,21,NE,1,2
gesture,1,22,22,NE,2,2
gesture,1,23,23,S,1,2
gesture,1,24,24,S,2,2
gesture,1,25,25,SE,2,1
gesture,1,26,26,SW,2,1
gesture,1,27,27,E,2,2
gesture,1,28,28,N,1,1
gesture,1,29,29,NW,2,1
gesture,1,30,30,SE,1,2
gesture,1,31,31,SW,1,1
gesture,1,32,32,W,1,2
gesture,2,33,1,S,2,2
gesture,2,34,2,NE,1,2
gesture,2,35,3,W,1,2
gesture,2,36,4,NW,1,2
gesture,2,37,5,NW,2,1
gesture,2,38,6,SE,1,2
gesture,2,39,7,SW,2,1
gesture,2,40,8,SW,1,1
gesture,2,41,9,N,1,1
gesture,2,42,10,E,2,2
gesture,2,43,11,NE,2,2
gesture,2,44,12,S,1,2
gesture,2,45,13,E,2,1
gesture,2,46,14,SE,1,1
gesture,2,47,15,N,2,1
gesture,2,48,16,N,2,2
gesture,2,49,17,E,1,2
gesture,2,50,18,W,2,2
gesture,2,51,19,NE,1,1
gesture,2,52,20,S,1,1
gesture,2,53,21,NE,2,1
gesture,2,54,22,NW,1,1
gesture,2,55,23,S,2,1
gesture,2,56,24,E,1,1
gesture,2,57,25,SE,2,2
gesture,2,58,26,SW,2,2
gesture,2,59,27,W,1,1
gesture,2,60,28,N,1,2
gesture,2,61,29,NW,2,2
gesture,2,62,30,SE,2,1
gesture,2,63,31,SW,1,2
gesture,2,64,32,W,2,1
gesture,3,65,1,E,1,1
gesture,3,66,2,NE,2,1
gesture,3,67,3,W,2,1
gesture,3,68,4,NW,2,1
gesture,3,69,5,NW,2,2
gesture,3,70,6,SE,2,1
gesture,3,71,7,SW,2,2
gesture,3,72,8,SW,1,2
gesture,3,73,9,N,1,2
gesture,3,74,10,W,1,1
gesture,3,75,11,NW,1,1
gesture,3,76,12,S,2,1
gesture,3,77,13,E,2,2
gesture,3,78,14,SE,1,2
gesture,3,79,15,N,2,2
gesture,3,80,16,S,1,1
gesture,3,81,17,E,2,1
gesture,3,82,18,NE,1,1
gesture,3,83,19,NE,1,2
gesture,3,84,20,S,1,2
gesture,3,85,21,NE,2,2
gesture,3,86,22,NW,1,2
gesture,3,87,23,S,2,2
gesture,3,88,24,E,1,2
gesture,3,89,25,SW,1,1
gesture,3,90,26,N,1,1
gesture,3,91,27,W,1,2
gesture,3,92,28,N,2,1
gesture,3,93,29,SE,1,1
gesture,3,94,30,SE,2,2
gesture,3,95,31,SW,2,1
gesture,3,96,32,W,2,2
gesture,4,97,1,E,1,2
gesture,4,98,2,NE,2,2
gesture,4,99,3,W,2,2
gesture,4,100,4,NW,2,2
gesture,4,101,5,SE,1,1
gesture,4,102,6,SE,2,2
gesture,4,103,7,N,1,1
gesture,4,104,8,SW,2,1
gesture,4,105,9,N,2,1
gesture,4,106,10,W,1,2
gesture,4,107,11,NW,1,2
gesture,4,108,12,S,2,2
gesture,4,109,13,W,1,1
gesture,4,110,14,SE,2,1
gesture,4,111,15,S,1,1
gesture,4,112,16,S,1,2
gesture,4,113,17,E,2,2
gesture,4,114,18,NE,1,2
gesture,4,115,19,NE,2,1
gesture,4,116,20,S,2,1
gesture,4,117,21,NW,1,1
gesture,4,118,22,NW,2,1
gesture,4,119,23,E,1,1
gesture,4,120,24,E,2,1
gesture,4,121,25,SW,1,2
gesture,4,122,26,N,1,2
gesture,4,123,27,W,2,1
gesture,4,124,28,N,2,2
gesture,4,125,29,SE,1,2
gesture,4,126,30,SW,1,1
gesture,4,127,31,SW,2,2
gesture,4,128,32,NE,1,1
gesture,5,129,1,E,2,1
gesture,5,130,2,NW,1,1
gesture,5,131,3,NE,1,1
gesture,5,132,4,SE,1,1
gesture,5,133,5,SE,1,2
gesture,5,134,6,SW,1,1
gesture,5,135,7,N,1,2
gesture,5,136,8,SW,2,2
gesture,5,137,9,N,2,2
gesture,5,138,10,W,2,1
gesture,5,139,11,NW,2,1
gesture,5,140,12,E,1,1
gesture,5,141,13,W,1,2
gesture,5,142,14,SE,2,2
gesture,5,143,15,S,1,2
gesture,5,144,16,S,2,1
gesture,5,145,17,W,1,1
gesture,5,146,18,NE,2,1
gesture,5,147,19,NE,2,2
gesture,5,148,20,S,2,2
gesture,5,149,21,NW,1,2
gesture,5,150,22,NW,2,2
gesture,5,151,23,E,1,2
gesture,5,152,24,E,2,2
gesture,5,153,25,SW,2,1
gesture,5,154,26,N,2,1
gesture,5,155,27,W,2,2
gesture,5,156,28,S,1,1
gesture,5,157,29,SE,2,1
gesture,5,158,30,SW,1,2
gesture,5,159,31,N,1,1
gesture,5,160,32,NE,1,2
gesture,6,161,1,E,2,2
gesture,6,162,2,NW,1,2
gesture,6,163,3,NE,1,2
gesture,6,164,4,SE,1,2
gesture,6,165,5,SE,2,1
gesture,6,166,6,SW,1,2
gesture,6,167,7,N,2,1
gesture,6,168,8,N,1,1
gesture,6,169,9,S,1,1
gesture,6,170,10,W,2,2
gesture,6,171,11,NW,2,2
gesture,6,172,12,E,1,2
gesture,6,173,13,W,2,1
gesture,6,174,14,SW,1,1
gesture,6,175,15,S,2,1
gesture,6,176,16,S,2,2
gesture,6,177,17,W,1,2
gesture,6,178,18,NE,2,2
gesture,6,179,19,NW,1,1
gesture,6,180,20,E,1,1
gesture,6,181,21,NW,2,1
gesture,6,182,22,SE,1,1
gesture,6,183,23,E,2,1
gesture,6,184,24,W,1,1
gesture,6,185,25,SW,2,2
gesture,6,186,26,N,2,2
gesture,6,187,27,NE,1,1
gesture,6,188,28,S,1,2
gesture,6,189,29,SE,2,2
gesture,6,190,30,SW,2,1
gesture,6,191,31,N,1,2
gesture,6,192,32,NE,2,1
gesture,7,193,1,W,1,1
gesture,7,194,2,NW,2,1
gesture,7,195,3,NE,2,1
gesture,7,196,4,SE,2,1
gesture,7,197,5,SE,2,2
gesture,7,198,6,SW,2,1
gesture,7,199,7,N,2,2
gesture,7,200,8,N,1,2
gesture,7,201,9,S,1,2
gesture,7,202,10,NE,1,1
gesture,7,203,11,SE,1,1
gesture,7,204,12,E,2,1
gesture,7,205,13,W,2,2
gesture,7,206,14,SW,1,2
gesture,7,207,15,S,2,2
gesture,7,208,16,E,1,1
gesture,7,209,17,W,2,1
gesture,7,210,18,NW,1,1
gesture,7,211,19,NW,1,2
gesture,7,212,20,E,1,2
gesture,7,213,21,NW,2,2
gesture,7,214,22,SE,1,2
gesture,7,215,23,E,2,2
gesture,7,216,24,W,1,2
gesture,7,217,25,N,1,1
gesture,7,218,26,S,1,1
gesture,7,219,27,NE,1,2
gesture,7,220,28,S,2,1
gesture,7,221,29,SW,1,1
gesture,7,222,30,SW,2,2
gesture,7,223,31,N,2,1
gesture,7,224,32,NE,2,2
gesture,8,225,1,W,1,2
gesture,8,226,2,NW,2,2
gesture,8,227,3,NE,2,2
gesture,8,228,4,SE,2,2
gesture,8,229,5,SW,1,1
gesture,8,230,6,SW,2,2
gesture,8,231,7,S,1,1
gesture,8,232,8,N,2,1
gesture,8,233,9,S,2,1
gesture,8,234,10,NE,1,2
gesture,8,235,11,SE,1,2
gesture,8,236,12,E,2,2
gesture,8,237,13,NE,1,1
gesture,8,238,14,SW,2,1
gesture,8,239,15,E,1,1
gesture,8,240,16,E,1,2
gesture,8,241,17,W,2,2
gesture,8,242,18,NW,1,2
gesture,8,243,19,NW,2,1
gesture,8,244,20,E,2,1
gesture,8,245,21,SE,1,1
gesture,8,246,22,SE,2,1
gesture,8,247,23,W,1,1
gesture,8,248,24,W,2,1
gesture,8,249,25,N,1,2
gesture,8,250,26,S,1,2
gesture,8,251,27,NE,2,1
gesture,8,252,28,S,2,2
gesture,8,253,29,SW,1,2
gesture,8,254,30,N,1,1
gesture,8,255,31,N,2,2
gesture,8,256,32,NW,1,1
gesture,9,257,1,W,2,1
gesture,9,258,2,SE,1,1
gesture,9,259,3,NW,1,1
gesture,9,260,4,SW,1,1
gesture,9,261,5,SW,1,2
gesture,9,262,6,N,1,1
gesture,9,263,7,S,1,2
gesture,9,264,8,N,2,2
gesture,9,265,9,S,2,2
gesture,9,266,10,NE,2,1
gesture,9,267,11,SE,2,1
gesture,9,268,12,W,1,1
gesture,9,269,13,NE,1,2
gesture,9,270,14,SW,2,2
gesture,9,271,15,E,1,2
gesture,9,272,16,E,2,1
gesture,9,273,17,NE,1,1
gesture,9,274,18,NW,2,1
gesture,9,275,19,NW,2,2
gesture,9,276,20,E,2,2
gesture,9,277,21,SE,1,2
gesture,9,278,22,SE,2,2
gesture,9,279,23,W,1,2
gesture,9,280,24,W,2,2
gesture,9,281,25,N,2,1
gesture,9,282,26,S,2,1
gesture,9,283,27,NE,2,2
gesture,9,284,28,E,1,1
gesture,9,285,29,SW,2,1
gesture,9,286,30,N,1,2
gesture,9,287,31,S,1,1
gesture,9,288,32,NW,1,2
gesture,10,289,1,W,2,2
gesture,10,290,2,SE,1,2
gesture,10,291,3,NW,1,2
gesture,10,292,4,SW,1,2
gesture,10,293,5,SW,2,1
gesture,10,294,6,N,1,2
gesture,10,295,7,S,2,1
gesture,10,296,8,S,1,1
gesture,10,297,9,E,1,1
gesture,10,298,10,NE,2,2
gesture,10,299,11,SE,2,2
gesture,10,300,12,W,1,2
gesture,10,301,13,NE,2,1
gesture,10,302,14,N,1,1
gesture,10,303,15,E,2,1
gesture,10,304,16,E,2,2
gesture,10,305,17,NE,1,2
gesture,10,306,18,NW,2,2
gesture,10,307,19,SE,1,1
gesture,10,308,20,W,1,1
gesture,10,309,21,SE,2,1
gesture,10,310,22,SW,1,1
gesture,10,311,23,W,2,1
gesture,10,312,24,NE,1,1
gesture,10,313,25,N,2,2
gesture,10,314,26,S,2,2
gesture,10,315,27,NW,1,1
gesture,10,316,28,E,1,2
gesture,10,317,29,SW,2,2
gesture,10,318,30,N,2,1
gesture,10,319,31,S,1,2
gesture,10,320,32,NW,2,1
gesture,11,321,1,NE,1,1
gesture,11,322,2,SE,2,1
gesture,11,323,3,NW,2,1
gesture,11,324,4,SW,2,1
gesture,11,325,5,SW,2,2
gesture,11,326,6,N,2,1
gesture,11,327,7,S,2,2
gesture,11,328,8,S,1,2
gesture,11,329,9,E,1,2
gesture,11,330,10,NW,1,1
gesture,11,331,11,SW,1,1
gesture,11,332,12,W,2,1
gesture,11,333,13,NE,2,2
gesture,11,334,14,N,1,2
gesture,11,335,15,E,2,2
gesture,11,336,16,W,1,1
gesture,11,337,17,NE,2,1
gesture,11,338,18,SE,1,1
gesture,11,339,19,SE,1,2
gesture,11,340,20,W,1,2
gesture,11,341,21,SE,2,2
gesture,11,342,22,SW,1,2
gesture,11,343,23,W,2,2
gesture,11,344,24,NE,1,2
gesture,11,345,25,S,1,1
gesture,11,346,26,E,1,1
gesture,11,347,27,NW,1,2
gesture,11,348,28,E,2,1
gesture,11,349,29,N,1,1
gesture,11,350,30,N,2,2
gesture,11,351,31,S,2,1
gesture,11,352,32,NW,2,2
gesture,12,353,1,NE,1,2
gesture,12,354,2,SE,2,2
gesture,12,355,3,NW,2,2
gesture,12,356,4,SW,2,2
gesture,12,357,5,N,1,1
gesture,12,358,6,N,2,2
gesture,12,359,7,E,1,1
gesture,12,360,8,S,2,1
gesture,12,361,9,E,2,1
gesture,12,362,10,NW,1,2
gesture,12,363,11,SW,1,2
gesture,12,364,12,W,2,2
gesture,12,365,13,NW,1,1
gesture,12,366,14,N,2,1
gesture,12,367,15,W,1,1
gesture,12,368,16,W,1,2
gesture,12,369,17,NE,2,2
gesture,12,370,18,SE,1,2
gesture,12,371,19,SE,2,1
gesture,12,372,20,W,2,1
gesture,12,373,21,SW,1,1
gesture,12,374,22,SW,2,1
gesture,12,375,23,NE,1,1
gesture,12,376,24,NE,2,1
gesture,12,377,25,S,1,2
gesture,12,378,26,E,1,2
gesture,12,379,27,NW,2,1
gesture,12,380,28,E,2,2
gesture,12,381,29,N,1,2
gesture,12,382,30,S,1,1
gesture,12,383,31,S,2,2
gesture,12,384,32,SE,1,1
gesture,13,385,1,NE,2,1
gesture,13,386,2,SW,1,1
gesture,13,387,3,SE,1,1
gesture,13,388,4,N,1,1
gesture,13,389,5,N,1,2
gesture,13,390,6,S,1,1
gesture,13,391,7,E,1,2
gesture,13,392,8,S,2,2
gesture,13,393,9,E,2,2
gesture,13,394,10,NW,2,1
gesture,13,395,11,SW,2,1
gesture,13,396,12,NE,1,1
gesture,13,397,13,NW,1,2
gesture,13,398,14,N,2,2
gesture,13,399,15,W,1,2
gesture,13,400,16,W,2,1
gesture,13,401,17,NW,1,1
gesture,13,402,18,SE,2,1
gesture,13,403,19,SE,2,2
gesture,13,404,20,W,2,2
gesture,13,405,21,SW,1,2
gesture,13,406,22,SW,2,2
gesture,13,407,23,NE,1,2
gesture,13,408,24,NE,2,2
gesture,13,409,25,S,2,1
gesture,13,410,26,E,2,1
gesture,13,411,27,NW,2,2
gesture,13,412,28,W,1,1
gesture,13,413,29,N,2,1
gesture,13,414,30,S,1,2
gesture,13,415,31,E,1,1
gesture,13,416,32,SE,1,2
gesture,14,417,1,NE,2,2
gesture,14,418,2,SW,1,2
gesture,14,419,3,SE,1,2
gesture,14,420,4,N,1,2
gesture,14,421,5,N,2,1
gesture,14,422,6,S,1,2
gesture,14,423,7,E,2,1
gesture,14,424,8,E,1,1
gesture,14,425,9,W,1,1
gesture,14,426,10,NW,2,2
gesture,14,427,11,SW,2,2
gesture,14,428,12,NE,1,2
gesture,14,429,13,NW,2,1
gesture,14,430,14,S,1,1
gesture,14,431,15,W,2,1
gesture,14,432,16,W,2,2
gesture,14,433,17,NW,1,2
gesture,14,434,18,SE,2,2
gesture,14,435,19,SW,1,1
gesture,14,436,20,NE,1,1
gesture,14,437,21,SW,2,1
gesture,14,438,22,N,1,1
gesture,14,439,23,NE,2,1
gesture,14,440,24,NW,1,1
gesture,14,441,25,S,2,2
gesture,14,442,26,E,2,2
gesture,14,443,27,SE,1,1
gesture,14,444,28,W,1,2
gesture,14,445,29,N,2,2
gesture,14,446,30,S,2,1
gesture,14,447,31,E,1,2
gesture,14,448,32,SE,2,1
gesture,15,449,1,NW,1,1
gesture,15,450,2,SW,2,1
gesture,15,451,3,SE,2,1
gesture,15,452,4,N,2,1
gesture,15,453,5,N,2,2
gesture,15,454,6,S,2,1
gesture,15,455,7,E,2,2
gesture,15,456,8,E,1,2
gesture,15,457,9,W,1,2
gesture,15,458,10,SE,1,1
gesture,15,459,11,N,1,1
gesture,15,460,12,NE,2,1
gesture,15,461,13,NW,2,2
gesture,15,462,14,S,1,2
gesture,15,463,15,W,2,2
gesture,15,464,16,NE,1,1
gesture,15,465,17,NW,2,1
gesture,15,466,18,SW,1,1
gesture,15,467,19,SW,1,2
gesture,15,468,20,NE,1,2
gesture,15,469,21,SW,2,2
gesture,15,470,22,N,1,2
gesture,15,471,23,NE,2,2
gesture,15,472,24,NW,1,2
gesture,15,473,25,E,1,1
gesture,15,474,26,W,1,1
gesture,15,475,27,SE,1,2
gesture,15,476,28,W,2,1
gesture,15,477,29,S,1,1
gesture,15,478,30,S,2,2
gesture,15,479,31,E,2,1
gesture,15,480,32,SE,2,2
gesture,16,481,1,NW,1,2
gesture,16,482,2,SW,2,2
gesture,16,483,3,SE,2,2
gesture,16,484,4,N,2,2
gesture,16,485,5,S,1,1
gesture,16,486,6,S,2,2
gesture,16,487,7,W,1,1
gesture,16,488,8,E,2,1
gesture,16,489,9,W,2,1
gesture,16,490,10,SE,1,2
gesture,16,491,11,N,1,2
gesture,16,492,12,NE,2,2
gesture,16,493,13,SE,1,1
gesture,16,494,14,S,2,1
gesture,16,495,15,NE,1,1
gesture,16,496,16,NE,1,2
gesture,16,497,17,NW,2,2
gesture,16,498,18,SW,1,2
gesture,16,499,19,SW,2,1
gesture,16,500,20,NE,2,1
gesture,16,501,21,N,1,1
gesture,16,502,22,N,2,1
gesture,16,503,23,NW,1,1
gesture,16,504,24,NW,2,1
gesture,16,505,25,E,1,2
gesture,16,506,26,W,1,2
gesture,16,507,27,SE,2,1
gesture,16,508,28,W,2,2
gesture,16,509,29,S,1,2
gesture,16,510,30,E,1,1
gesture,16,511,31,E,2,2
gesture,16,512,32,SW,1,1
gesture,17,513,1,NW,2,1
gesture,17,514,2,N,1,1
gesture,17,515,3,SW,1,1
gesture,17,516,4,S,1,1
gesture,17,517,5,S,1,2
gesture,17,518,6,E,1,1
gesture,17,519,7,W,1,2
gesture,17,520,8,E,2,2
gesture,17,521,9,W,2,2
gesture,17,522,10,SE,2,1
gesture,17,523,11,N,2,1
gesture,17,524,12,NW,1,1
gesture,17,525,13,SE,1,2
gesture,17,526,14,S,2,2
gesture,17,527,15,NE,1,2
gesture,17,528,16,NE,2,1
gesture,17,529,17,SE,1,1
gesture,17,530,18,SW,2,1
gesture,17,531,19,SW,2,2
gesture,17,532,20,NE,2,2
gesture,17,533,21,N,1,2
gesture,17,534,22,N,2,2
gesture,17,535,23,NW,1,2
gesture,17,536,24,NW,2,2
gesture,17,537,25,E,2,1
gesture,17,538,26,W,2,1
gesture,17,539,27,SE,2,2
gesture,17,540,28,NE,1,1
gesture,17,541,29,S,2,1
gesture,17,542,30,E,1,2
gesture,17,543,31,W,1,1
gesture,17,544,32,SW,1,2
gesture,18,545,1,NW,2,2
gesture,18,546,2,N,1,2
gesture,18,547,3,SW,1,2
gesture,18,548,4,S,1,2
gesture,18,549,5,S,2,1
gesture,18,550,6,E,1,2
gesture,18,551,7,W,2,1
gesture,18,552,8,W,1,1
gesture,18,553,9,NE,1,1
gesture,18,554,10,SE,2,2
gesture,18,555,11,N,2,2
gesture,18,556,12,NW,1,2
gesture,18,557,13,SE,2,1
gesture,18,558,14,E,1,1
gesture,18,559,15,NE,2,1
gesture,18,560,16,NE,2,2
gesture,18,561,17,SE,1,2
gesture,18,562,18,SW,2,2
gesture,18,563,19,N,1,1
gesture,18,564,20,NW,1,1
gesture,18,565,21,N,2,1
gesture,18,566,22,S,1,1
gesture,18,567,23,NW,2,1
gesture,18,568,24,SE,1,1
gesture,18,569,25,E,2,2
gesture,18,570,26,W,2,2
gesture,18,571,27,SW,1,1
gesture,18,572,28,NE,1,2
gesture,18,573,29,S,2,2
gesture,18,574,30,E,2,1
gesture,18,575,31,W,1,2
gesture,18,576,32,SW,2,1
gesture,19,577,1,SE,1,1
gesture,19,578,2,N,2,1
gesture,19,579,3,SW,2,1
gesture,19,580,4,S,2,1
gesture,19,581,5,S,2,2
gesture,19,582,6,E,2,1
gesture,19,583,7,W,2,2
gesture,19,584,8,W,1,2
gesture,19,585,9,NE,1,2
gesture,19,586,10,SW,1,1
gesture,19,587,11,S,1,1
gesture,19,588,12,NW,2,1
gesture,19,589,13,SE,2,2
gesture,19,590,14,E,1,2
gesture,19,591,15,NE,2,2
gesture,19,592,16,NW,1,1
gesture,19,593,17,SE,2,1
gesture,19,594,18,N,1,1
gesture,19,595,19,N,1,2
gesture,19,596,20,NW,1,2
gesture,19,597,21,N,2,2
gesture,19,598,22,S,1,2
gesture,19,599,23,NW,2,2
gesture,19,600,24,SE,1,2
gesture,19,601,25,W,1,1
gesture,19,602,26,NE,1,1
gesture,19,603,27,SW,1,2
gesture,19,604,28,NE,2,1
gesture,19,605,29,E,1,1
gesture,19,606,30,E,2,2
gesture,19,607,31,W,2,1
gesture,19,608,32,SW,2,2
gesture,20,609,1,SE,1,2
gesture,20,610,2,N,2,2
gesture,20,611,3,SW,2,2
gesture,20,612,4,S,2,2
gesture,20,613,5,E,1,1
gesture,20,614,6,E,2,2
gesture,20,615,7,NE,1,1
gesture,20,616,8,W,2,1
gesture,20,617,9,NE,2,1
gesture,20,618,10,SW,1,2
gesture,20,619,11,S,1,2
gesture,20,620,12,NW,2,2
gesture,20,621,13,SW,1,1
gesture,20,622,14,E,2,1
gesture,20,623,15,NW,1,1
gesture,20,624,16,NW,1,2
gesture,20,625,17,SE,2,2
gesture,20,626,18,N,1,2
gesture,20,627,19,N,2,1
gesture,20,628,20,NW,2,1
gesture,20,629,21,S,1,1
gesture,20,630,22,S,2,1
gesture,20,631,23,SE,1,1
gesture,20,632,24,SE,2,1
gesture,20,633,25,W,1,2
gesture,20,634,26,NE,1,2
gesture,20,635,27,SW,2,1
gesture,20,636,28,NE,2,2
gesture,20,637,29,E,1,2
gesture,20,638,30,W,1,1
gesture,20,639,31,W,2,2
gesture,20,640,32,N,1,1
