DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist
KeyMultiModi,48,4513,1,1,2,NaN,1,NaN,1,B,CMD,3.623,NaN,NaN,3.918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.142,3.918,1,NaN,NaN,NaN,NaN,NaN,NaN,488
KeyMultiModi,48,4514,1,2,4,NaN,1,NaN,1,B,CMD,3.918,NaN,NaN,4.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.634,4.054,1,NaN,NaN,NaN,NaN,NaN,NaN,845
KeyMultiModi,48,4515,1,3,4,NaN,2,NaN,1,Y,CMD + Shift,5.392,NaN,5.525,5.813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.824,5.813,1,NaN,NaN,NaN,NaN,NaN,NaN,773
KeyMultiModi,48,4516,1,4,2,NaN,3,NaN,1,A,CMD + Option + Shift,5.288,5.443,5.693,6.176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.613,6.176,1,NaN,NaN,NaN,NaN,NaN,NaN,412
KeyMultiModi,48,4517,1,5,3,NaN,0,NaN,1,X,,NaN,NaN,NaN,6.414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.886,6.414,1,NaN,NaN,NaN,NaN,NaN,NaN,521
KeyMultiModi,48,4518,1,6,3,NaN,2,NaN,1,Y,CMD + Shift,11.702,NaN,11.799,12.071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.261,12.071,1,NaN,NaN,NaN,NaN,NaN,NaN,484
KeyMultiModi,48,4519,1,7,1,NaN,1,NaN,1,B,CMD,2.293,NaN,NaN,2.418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.886,2.418,1,NaN,NaN,NaN,NaN,NaN,NaN,207
KeyMultiModi,48,4520,1,8,4,NaN,3,NaN,1,A,CMD + Option + Shift,6.398,6.704,6.457,6.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.743,6.787,2,NaN,NaN,NaN,NaN,NaN,NaN,498
KeyMultiModi,48,4521,1,9,1,NaN,3,NaN,1,A,CMD + Option + Shift,6.574,6.422,6.737,7.113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.378,7.113,1,NaN,NaN,NaN,NaN,NaN,NaN,617
KeyMultiModi,48,4522,1,10,2,NaN,2,NaN,1,Y,CMD + Shift,4.029,NaN,2.377,5.065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.551,5.065,1,NaN,NaN,NaN,NaN,NaN,NaN,211
KeyMultiModi,48,4523,1,11,3,NaN,3,NaN,1,A,CMD + Option + Shift,1.459,3.706,1.501,2.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.042,4.431,2,NaN,NaN,NaN,NaN,NaN,NaN,540
KeyMultiModi,48,4524,1,12,4,NaN,0,NaN,1,I,,NaN,NaN,NaN,1.323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.974,1.323,1,NaN,NaN,NaN,NaN,NaN,NaN,326
KeyMultiModi,48,4525,1,13,1,NaN,2,NaN,1,Y,CMD + Shift,3.279,NaN,1.685,4.239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.324,4.239,1,NaN,NaN,NaN,NaN,NaN,NaN,571
KeyMultiModi,48,4526,1,14,3,NaN,1,NaN,1,B,CMD,1.485,NaN,NaN,1.639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.912,1.639,1,NaN,NaN,NaN,NaN,NaN,NaN,784
KeyMultiModi,48,4527,1,15,1,NaN,0,NaN,1,I,,NaN,NaN,NaN,1.419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.959,1.419,1,NaN,NaN,NaN,NaN,NaN,NaN,714
KeyMultiModi,48,4528,1,16,2,NaN,0,NaN,1,K,,NaN,NaN,NaN,1.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.965,1.281,1,NaN,NaN,NaN,NaN,NaN,NaN,680
KeyMultiModi,48,4529,2,1,2,NaN,1,NaN,1,B,CMD,1.595,NaN,NaN,1.746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.15,1.746,1,NaN,NaN,NaN,NaN,NaN,NaN,499
KeyMultiModi,48,4530,2,2,4,NaN,1,NaN,1,B,CMD,1.01,NaN,NaN,1.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.757,1.17,1,NaN,NaN,NaN,NaN,NaN,NaN,827
KeyMultiModi,48,4531,2,3,4,NaN,2,NaN,1,Y,CMD + Shift,0.93,NaN,1.084,1.441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.665,1.441,1,NaN,NaN,NaN,NaN,NaN,NaN,582
KeyMultiModi,48,4532,2,4,2,NaN,3,NaN,1,A,CMD + Option + Shift,1.282,1.623,1.901,2.296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.724,2.296,1,NaN,NaN,NaN,NaN,NaN,NaN,858
KeyMultiModi,48,4533,2,5,3,NaN,0,NaN,1,X,,NaN,NaN,NaN,1.204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.923,1.204,1,NaN,NaN,NaN,NaN,NaN,NaN,428
KeyMultiModi,48,4534,2,6,3,NaN,2,NaN,1,Y,CMD + Shift,0.843,NaN,1.502,1.921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.509,1.921,2,NaN,NaN,NaN,NaN,NaN,NaN,784
KeyMultiModi,48,4535,2,7,1,NaN,1,NaN,1,B,CMD,1.454,NaN,NaN,1.595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.225,1.595,1,NaN,NaN,NaN,NaN,NaN,NaN,406
KeyMultiModi,48,4536,2,8,4,NaN,3,NaN,1,A,CMD + Option + Shift,0.965,1.198,1.437,2.175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.751,2.175,1,NaN,NaN,NaN,NaN,NaN,NaN,522
KeyMultiModi,48,4537,2,9,1,NaN,3,NaN,1,A,CMD + Option + Shift,1.456,1.643,1.887,2.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.148,2.43,1,NaN,NaN,NaN,NaN,NaN,NaN,620
KeyMultiModi,48,4538,2,10,2,NaN,2,NaN,1,Y,CMD + Shift,1.189,NaN,1.767,2.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.816,2.64,1,NaN,NaN,NaN,NaN,NaN,NaN,587
KeyMultiModi,48,4539,2,11,3,NaN,3,NaN,1,A,CMD + Option + Shift,1.303,1.586,1.862,2.544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.756,2.544,1,NaN,NaN,NaN,NaN,NaN,NaN,411
KeyMultiModi,48,4540,2,12,4,NaN,0,NaN,1,K,,NaN,NaN,NaN,1.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.692,1.08,1,NaN,NaN,NaN,NaN,NaN,NaN,748
KeyMultiModi,48,4541,2,13,1,NaN,2,NaN,1,Y,CMD + Shift,2.035,NaN,2.352,3.918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.28,7.2,2,NaN,NaN,NaN,NaN,NaN,NaN,437
KeyMultiModi,48,4542,2,14,3,NaN,1,NaN,1,B,CMD,1.867,NaN,NaN,2.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.84,2.025,1,NaN,NaN,NaN,NaN,NaN,NaN,616
KeyMultiModi,48,4543,2,15,1,NaN,0,NaN,1,K,,NaN,NaN,NaN,1.759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.966,1.759,2,NaN,NaN,NaN,NaN,NaN,NaN,585
KeyMultiModi,48,4544,2,16,2,NaN,0,NaN,1,K,,NaN,NaN,NaN,1.663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.198,1.663,1,NaN,NaN,NaN,NaN,NaN,NaN,752
KeyMultiModi,48,4545,3,1,2,NaN,1,NaN,1,B,CMD,1.445,NaN,NaN,1.474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.712,1.474,1,NaN,NaN,NaN,NaN,NaN,NaN,680
KeyMultiModi,48,4546,3,2,4,NaN,1,NaN,1,B,CMD,3.724,NaN,NaN,3.882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.31,3.882,2,NaN,NaN,NaN,NaN,NaN,NaN,567
KeyMultiModi,48,4547,3,3,4,NaN,2,NaN,1,Y,CMD + Shift,4.409,NaN,4.413,4.897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.782,4.897,1,NaN,NaN,NaN,NaN,NaN,NaN,325
KeyMultiModi,48,4548,3,4,2,NaN,3,NaN,1,A,CMD + Option + Shift,2.942,4.444,2.988,5.369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.126,5.369,2,NaN,NaN,NaN,NaN,NaN,NaN,390
KeyMultiModi,48,4549,3,5,3,NaN,0,NaN,1,X,,NaN,NaN,NaN,1.369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.134,1.369,1,NaN,NaN,NaN,NaN,NaN,NaN,898
KeyMultiModi,48,4550,3,6,3,NaN,2,NaN,1,Y,CMD + Shift,1.259,NaN,3.329,3.612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.733,3.612,2,NaN,NaN,NaN,NaN,NaN,NaN,823
KeyMultiModi,48,4551,3,7,1,NaN,1,NaN,1,B,CMD,1.198,NaN,NaN,1.317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.85,1.317,1,NaN,NaN,NaN,NaN,NaN,NaN,491
KeyMultiModi,48,4552,3,8,4,NaN,3,NaN,1,A,CMD + Option + Shift,0.854,1.207,1.003,1.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.574,1.72,2,NaN,NaN,NaN,NaN,NaN,NaN,411
KeyMultiModi,48,4553,3,9,1,NaN,3,NaN,1,A,CMD + Option + Shift,2.052,2.541,2.85,3.416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.483,3.416,1,NaN,NaN,NaN,NaN,NaN,NaN,336
KeyMultiModi,48,4554,3,10,2,NaN,2,NaN,1,Y,CMD + Shift,1.662,NaN,1.847,2.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.039,2.613,1,NaN,NaN,NaN,NaN,NaN,NaN,1166
KeyMultiModi,48,4555,3,11,3,NaN,3,NaN,1,A,CMD + Option + Shift,0.889,1.047,1.297,1.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.695,1.48,1,NaN,NaN,NaN,NaN,NaN,NaN,865
KeyMultiModi,48,4556,3,12,4,NaN,0,NaN,1,K,,NaN,NaN,NaN,1.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.755,1.101,1,NaN,NaN,NaN,NaN,NaN,NaN,421
KeyMultiModi,48,4557,3,13,1,NaN,2,NaN,1,Y,CMD + Shift,1.467,NaN,1.61,2.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.011,2.295,1,NaN,NaN,NaN,NaN,NaN,NaN,1069
KeyMultiModi,48,4558,3,14,3,NaN,1,NaN,1,B,CMD,2.522,NaN,NaN,2.644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.001,2.644,1,NaN,NaN,NaN,NaN,NaN,NaN,557
