DesignName,ParticipantID,TrialID,Block1,Letter,Modifier,Size,Time
test1,1,1,1,M,CMD_Shift,1,2.463,5.422
test1,1,2,2,M,CMD,2,1.345,6.511
test1,1,3,3,X,CMD_Shift,2,2.119,3.784
test1,1,4,4,O, ,1,1.503,4.253
test1,1,5,5,X,CMD_Alt_Shift,1,2.057,12.548
test1,1,6,6,O,Alt,1,1.51,4.209
test1,1,7,7,X,Alt,2,1.291,4.459
test1,1,8,8,X,CMD_Shift,1,2.335,4.477
test1,1,9,9,X, ,2,1.565,6.446
test1,1,10,10,M,CMD_Alt_Shift,1,2.031,6.48
test1,1,11,11,M,Alt,2,2.497,6.144
test1,1,12,12,M,CMD_Alt_Shift,2,2.242,3.639
test1,1,13,13,M,Alt,1,1.933,3.069
test1,1,14,14,O,CMD,2,2.127,3.894
test1,1,15,15,F, ,2,1.517,7.361
test1,1,16,16,F,CMD,1,1.333,5.102
test1,1,17,17,F,CMD_Alt_Shift,1,2.299,4.154
test1,1,18,18,E,Alt,1,1.766,7.57
test1,1,19,19,X,CMD_Alt_Shift,2,1.456,4.105
test1,1,20,20,F,CMD,2,1.885,4.357
test1,1,21,21,E,CMD_Shift,2,2.415,6.024
test1,1,22,22,E,CMD_Alt_Shift,2,2.572,6.083
test1,1,23,23,F,Alt,2,1.479,6.187
test1,1,24,24,F,CMD_Shift,2,2.421,6.289
test1,1,25,25,O,CMD_Shift,1,1.663,6.395
test1,1,26,26,M, ,2,1.537,4.481
test1,1,27,27,E, ,2,1.213,4.732
test1,1,28,28,X,CMD,1,1.588,4.765
test1,1,29,29,O,CMD,1,1.551,4.052
test1,1,30,30,O,Alt,2,2.122,4.301
test1,1,31,31,O,CMD_Alt_Shift,1,1.719,4.332
test1,1,32,32,M, ,1,1.41,4.365
test1,1,33,33,F, ,1,1.254,4.399
test1,1,34,34,M,CMD,1,2.069,4.995
test1,1,35,35,O, ,2,1.031,5.028
test1,1,36,36,X,CMD,2,1.958,5.06
test1,1,37,37,O,CMD_Shift,2,1.665,5.093
test1,1,38,38,M,CMD_Shift,2,1.566,5.128
test1,1,39,39,X,Alt,1,1.838,5.163
test1,1,40,40,E,Alt,2,1.764,4.139
test1,1,41,41,E,CMD,2,1.655,4.199
test1,1,42,42,X, ,1,2.057,4.303
test1,1,43,43,O,CMD_Alt_Shift,2,2.654,4.434
test1,1,44,44,E,CMD_Shift,1,2.067,4.493
test1,1,45,45,F,CMD_Alt_Shift,2,1.709,3.577
test1,1,46,46,E,CMD_Alt_Shift,1,1.546,3.827
test1,1,47,47,F,CMD_Shift,1,3.01,2.809
test1,1,48,48,E,CMD,1,1.523,3.812
test1,1,49,49,E, ,1,1.513,4.065
test1,1,50,50,F,Alt,1,1.949,4.097
test1,1,51,51,F,CMD_Shift,1,2.918,4.129
test1,1,52,52,E,CMD_Shift,1,1.611,3.909
test1,1,53,53,M,CMD_Shift,2,1.435,3.537
test1,1,54,54,E,CMD_Shift,2,1.345,3.851
test1,1,55,55,X,Alt,1,1.534,2.952
test1,1,56,56,O,CMD_Shift,1,2.252,3.466
test1,1,57,57,X,CMD,2,1.746,3.501
test1,1,58,58,O,CMD_Shift,2,1.626,3.535
test1,1,59,59,M, ,1,1.211,3.568
test1,1,60,60,E, ,1,1.409,3.601
test1,1,61,61,E,CMD_Alt_Shift,1,1.784,3.637
test1,1,62,62,F,Alt,1,1.517,3.67
test1,1,63,63,F,CMD_Alt_Shift,2,1.257,3.705
test1,1,64,64,F,CMD_Shift,2,2.19,3.738
test1,1,65,65,M,CMD,2,1.707,3.772
test1,1,66,66,X,CMD_Shift,2,2.063,3.806
test1,1,67,67,X, ,2,1.532,3.839
test1,1,68,68,F, ,2,1.13,3.874
test1,1,69,69,E,Alt,2,1.434,3.91
test1,1,70,70,O, ,1,1.111,3.942
test1,1,71,71,E,Alt,1,1.285,7.014
test1,1,72,72,F,CMD,2,1.748,3.544
test1,1,73,73,O,Alt,1,1.364,3.953
test1,1,74,74,X,CMD_Shift,1,1.515,6.204
test1,1,75,75,E, ,2,1.214,3.813
test1,1,76,76,X, ,1,1.39,3.611
test1,1,77,77,M,CMD_Alt_Shift,2,2.213,4.954
test1,1,78,78,F, ,1,1.404,3.196
test1,1,79,79,F,Alt,2,1.706,3.878
test1,1,80,80,M, ,2,1.232,2.938
test1,1,81,81,O,CMD,1,4.967,3.714
test1,1,82,82,E,CMD,2,1.453,3.087
test1,1,83,83,M,CMD_Shift,1,1.534,3.474
test1,1,84,84,O,CMD_Alt_Shift,2,1.873,3.508
test1,1,85,85,E,CMD_Alt_Shift,2,1.416,3.542
test1,1,86,86,M,CMD,1,1.318,3.578
test1,1,87,87,X,CMD,1,3.19,3.609
test1,1,88,88,E,CMD,1,3.089,3.643
test1,1,89,89,O, ,2,1.141,3.676
test1,1,90,90,F,CMD,1,1.828,3.71
test1,1,91,91,O,CMD,2,2.397,3.744
test1,1,92,92,O,CMD_Alt_Shift,1,4.932,3.776
test1,1,93,93,O,Alt,2,1.573,2.966
test1,1,94,94,F,CMD_Alt_Shift,1,1.458,4.225
test1,1,95,95,M,CMD_Alt_Shift,1,1.704,3.713
test1,1,96,96,X,CMD_Alt_Shift,2,1.263,3.212
test1,1,97,97,X,Alt,2,1.498,4.055
test1,1,98,98,M,Alt,1,1.302,3.1
test1,1,99,99,M,Alt,2,1.345,2.921